feature,importance
total_payload_bytes,0.10951641415374887
packets_rate,0.08448741416215927
segment_size_variance,0.07994173599249564
bwd_packets_rate,0.07817120601071197
payload_bytes_variance,0.07474556034338709
total_header_bytes,0.07238132054945197
variance_payload_bytes_delta_len,0.05105061855978273
fwd_total_payload_bytes,0.05033134568985646
variance_packets_delta_len,0.03835077042742193
bytes_rate,0.03825834378059579
bwd_total_payload_bytes,0.02820982233517506
cov_packets_delta_len,0.02636948958370336
fwd_bytes_rate,0.020598682356478718
bwd_packets_IAT_total,0.018391041236836
packet_IAT_max,0.01833964205388151
fwd_packets_IAT_total,0.01365227592485251
fwd_bulk_total_size,0.011918797945853344
bwd_bulk_total_size,0.011348793358746483
fwd_packets_IAT_max,0.010438417124920434
subflow_fwd_bytes,0.01010930300864057
avg_fwd_bulk_rate,0.009514320204690698
packet_IAT_total,0.00935797021818349
fwd_payload_bytes_variance,0.009141852839063469
subflow_bwd_bytes,0.008555335788545589
fwd_segment_size_variance,0.007700823012222641
bwd_packets_IAT_max,0.006873929086226691
fwd_packets_IAT_mean,0.006088715902734264
variance_bwd_packets_delta_time,0.005921969026966906
variance_fwd_payload_bytes_delta_len,0.0059027195652166745
packets_IAT_mode,0.005857175181730726
fwd_packets_IAT_min,0.0056526177118390595
variance_packets_delta_time,0.005432869125526794
variance_fwd_packets_delta_len,0.005314323018658763
packet_IAT_min,0.005190471243758993
cov_bwd_packets_delta_len,0.004889735123030424
packets_IAT_mean,0.004691449068174011
fwd_packets_IAT_mode,0.004500681995251098
bwd_packets_IAT_min,0.004493753870925868
fwd_packets_IAT_median,0.004428130497283504
bwd_packets_IAT_mean,0.004190124128955108
bwd_bytes_rate,0.0036608885328103967
bwd_packets_IAT_median,0.00357419605517114
packets_IAT_median,0.0035328934856394345
variance_bwd_packets_delta_len,0.0034083503665606886
variance_bwd_payload_bytes_delta_len,0.003342746089624562
variance_fwd_packets_delta_time,0.003010100042341648
bwd_segment_size_variance,0.002836801131765969
bwd_packets_IAT_mode,0.002679902846531163
bwd_payload_bytes_variance,0.002237284967952233
avg_bwd_bulk_rate,0.0014068752739184005
