feature,importance
total_payload_bytes,0.09221061263407988
packets_rate,0.08961389353840044
segment_size_variance,0.08261188244189431
bwd_packets_rate,0.08181064051352628
payload_bytes_variance,0.07121687663460677
variance_payload_bytes_delta_len,0.05975480839218244
fwd_total_payload_bytes,0.059681287089800396
total_header_bytes,0.052371721657731275
variance_packets_delta_len,0.047654647900281205
bwd_total_payload_bytes,0.028167042245734672
bytes_rate,0.02569207641227372
bwd_packets_IAT_total,0.020128385182173573
fwd_packets_IAT_total,0.018835076080521145
packet_IAT_max,0.017399168716941322
cov_packets_delta_len,0.01649943541764189
fwd_bytes_rate,0.0164365040262371
packet_IAT_total,0.01221365909986223
fwd_payload_bytes_variance,0.012180890037485244
fwd_bulk_total_size,0.012060061717392156
fwd_packets_IAT_max,0.011937185749708704
bwd_packets_IAT_max,0.010836070494269798
subflow_fwd_bytes,0.009177445212981354
packets_IAT_mean,0.008984692613539067
fwd_segment_size_variance,0.008652838213402377
fwd_packets_IAT_mean,0.008467245435998472
subflow_bwd_bytes,0.007658595823684917
bwd_packets_IAT_mean,0.007214937346672838
packet_IAT_min,0.006710956408039874
bwd_bulk_total_size,0.006561971963105508
avg_fwd_bulk_rate,0.006498830070668043
variance_fwd_packets_delta_len,0.006272978623308005
variance_packets_delta_time,0.0061974798463274566
bwd_packets_IAT_mode,0.005682447934262149
variance_fwd_payload_bytes_delta_len,0.005654925916904708
bwd_bytes_rate,0.005339690964786101
bwd_packets_IAT_min,0.005337867909434976
cov_bwd_packets_delta_len,0.005206142121460696
packets_IAT_mode,0.004937791989770842
packets_IAT_median,0.004936897523097037
fwd_packets_IAT_min,0.00491170472568674
bwd_packets_IAT_median,0.004761298502894605
fwd_packets_IAT_median,0.00462680316322279
fwd_packets_IAT_mode,0.00431212310734546
variance_bwd_payload_bytes_delta_len,0.0042831078155279485
variance_bwd_packets_delta_time,0.004281070856923565
bwd_segment_size_variance,0.0038498718996612348
variance_bwd_packets_delta_len,0.003414514827292144
bwd_payload_bytes_variance,0.003009318743489684
variance_fwd_packets_delta_time,0.0027581775913281285
avg_bwd_bulk_rate,0.0009863468664386972
